Temperature,Relative_Humidity,Condition
26.9,80.99,2
28.7,75.09,2
29.2,69.89,5
27.8,77.36,5
26.7,84.29,5
26.8,86.13,2
26.1,89.94,5
26.9,82.01,5
25.8,89.01,5
26.2,84.88,5
27.8,79.82,5
28.9,74.94,2
29.3,74.43,2
28.2,79.09,5
28.3,78.58,2
27.2,80.55,5
27.6,81.75,5
27.7,81.2,5
27.5,80.1,5
27.7,75.74,2
28.9,76.23,2
29.3,74.79,5
29.2,73.15,2
28.5,78.29,5
28.2,82.64,5
26.7,84.28,5
27.3,83.04,5
27.5,82.32,5
27,85.99,5
27.1,85.81,5
28,76.36,5
27.4,80.52,5
27.5,79.62,5
26.2,82.34,5
28,80.38,5
28.7,74.42,5
30.1,67.5,2
29.5,67.37,5
28.2,74.52,2
27.5,80.23,5
27.9,81.71,2
27.9,83.56,2
27.2,80.22,5
29.2,75.18,2
28.7,75.12,5
27.4,80.9,5
26.4,85.71,5
28.1,79.86,2
27.5,79.45,5
26.9,83.26,5
27.8,77.84,5
28,79.93,5
28.9,73.94,2
29.3,73.2,5
29.4,72.04,5
28.4,74.41,2
29.5,68.83,2
28.7,73.22,2
29.1,68.26,2
29.5,68.35,2
29,70.74,0
29.3,72.73,2
29.1,74.43,5
29.4,74.04,2
29.8,74.31,2
29.4,73.51,5
28.8,76.4,2
29,75.67,5
29.2,74.02,2
26.4,86.68,5
27.6,81.97,5
29.1,78.54,2
29.1,76.19,2
28.7,74.54,2
28.2,74.24,2
28.8,70.62,2
28.7,67.38,2
28.4,72.4,3
26.5,73.31,0
27.8,67.44,5
27,72.75,0
27.3,70.56,2
28.1,69.15,2
28.4,66.79,5
27.1,71,0
29.2,69.76,2
29.2,69.91,2
28.2,70.54,2
27.9,72.08,5
28.7,71.42,5
28.3,73.05,2
28.7,71.81,5
29,71.5,0
28.7,76.13,2
29.2,70.84,2
28.4,73.27,2
28.7,72.22,2
29,70.78,0
27.8,70.98,2
28.3,67.39,0
28.3,68.12,0
28.7,65.99,0
28.2,70.06,0
27.9,71.47,2
28.7,66.99,2
26.7,73.43,0
28,70.09,2
28,69.13,0
27.6,61.05,2
29.1,65.58,2
29.1,66.12,2
27.1,72.15,0
27.1,63.29,0
27.1,68.68,0
26.8,71.75,0
27.1,69.46,2
27.7,69.31,2
26.4,66.44,2
26.1,63.17,2
27,62.19,0
26.6,70.2,2
25.7,71.34,0
27,69.09,0
26.6,65.35,0
26.4,65.01,0
25.9,73.03,0
26.1,72.85,0
27.3,70.28,2
26.5,73.25,2
27.2,69.47,2
27.9,67.93,0
26.8,70.06,2
27.6,69.62,0
26.2,71.22,2
27.2,70.39,2
25.7,74.59,2
27.2,72.47,0
27.3,72.3,2
27.5,69.55,2
27.4,71.78,2
26.8,70.9,2
25.8,67.43,2
26.2,73.44,2
27.3,71.14,2
27.9,71.03,2
26.7,67.34,2
27.4,62.62,2
25.5,70.44,0
27.4,67.29,0
27.1,72.07,5
27.2,72.14,2
27.8,72.19,2
27.9,73.49,2
27.9,64.83,2
26.6,65.14,0
27.8,60.4,0
25.4,63.65,0
26.1,64.7,0
27.4,68.48,0
27.7,70.97,2
27.2,70.7,2
26.6,69.12,2
26.7,65.46,2
25.4,64.14,0
25.6,64.16,0
26.1,56.85,2
26,61.21,2
26.4,63.38,2
25.8,67.62,0
26.1,65.41,0
25.6,68.63,2
26.4,65.59,2
25.5,69.73,0
