Date,MaxTemp,MinTemp,Temp,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity,Conditions
3/28/2000 0:00,31.2,19.2,26.2,36.4,23.8,32.6,238,9,44.9,84.14,"Rain, Partially cloudy"
3/29/2000 0:00,32.1,20.2,27.1,38,0.6,16.6,189.17,9,46.3,82.09,"Rain, Partially cloudy"
3/30/2000 0:00,32.1,22.2,28.3,38,0,14.8,126.67,7.2,44.7,76.8,Partially cloudy
3/31/2000 0:00,32.1,25.9,28.9,38,0.2,14.8,210.77,8.5,55.6,75.49,"Rain, Partially cloudy"
4/1/2000 0:00,30.1,22.4,27.4,35.2,15,36.4,185,7.4,48.3,83.11,"Rain, Partially cloudy"
4/2/2000 0:00,32.2,24.9,28.9,39.3,13,18.4,130.71,7.5,43.9,76.47,"Rain, Partially cloudy"
4/3/2000 0:00,32.1,21.8,28.4,37.1,31,18.4,180.18,8.8,48.9,76.77,"Rain, Partially cloudy"
4/4/2000 0:00,32.1,21.6,26.5,39.3,39.28,11.2,202.5,7.1,55.4,84.69,"Rain, Partially cloudy"
4/5/2000 0:00,31.7,21.2,28,37.3,0,11.2,181.88,8.5,49.4,77.59,Partially cloudy
4/6/2000 0:00,30.1,24.7,27.6,36.3,4.5,18.4,274,7.5,60,82.37,"Rain, Partially cloudy"
4/7/2000 0:00,30.6,24.1,27.7,35.2,1,18.4,147.27,8.2,58,81.64,"Rain, Partially cloudy"
4/8/2000 0:00,31.7,22.5,27.8,36.7,2.83,22.3,200,8.4,57.5,82.34,"Rain, Partially cloudy"
4/9/2000 0:00,31.4,23.7,28,37.1,5.7,18.4,305,9.1,50,81.3,"Rain, Partially cloudy"
4/10/2000 0:00,32.1,25,28.5,37,64,22.3,121.11,7.3,46.7,78.93,"Rain, Partially cloudy"
4/11/2000 0:00,31.1,22.2,26.8,36.7,24.4,11.2,256.27,7.4,56.3,83.8,"Rain, Partially cloudy"
4/12/2000 0:00,31.1,24.1,26.9,37.9,16,18.4,190,5.9,43.8,85.77,"Rain, Partially cloudy"
4/13/2000 0:00,31.1,25,28,36.7,0,18.4,119.17,7.4,49.4,80.72,Partially cloudy
4/14/2000 0:00,30.1,21.9,27.2,36.3,0.7,14.8,174,7.6,53.1,82.9,"Rain, Partially cloudy"
4/15/2000 0:00,31.1,24.7,26.9,36.7,0.1,14.8,164.55,7.9,47.6,84.03,"Rain, Partially cloudy"
4/16/2000 0:00,31.1,24.7,27.2,37.9,21,18.4,180.91,9.1,55.7,82.7,"Rain, Partially cloudy"
4/17/2000 0:00,32.4,22.1,27.8,37.1,1.8,25.9,235.83,9.5,54,79.22,"Rain, Partially cloudy"
4/18/2000 0:00,32.1,24.9,28.1,38.4,0,18.4,212.22,8.9,53.3,77.24,Partially cloudy
4/19/2000 0:00,32.9,25,28,39.8,7,27.7,215.71,8.9,50,79.4,"Rain, Partially cloudy"
4/20/2000 0:00,32.1,24.1,28.2,37.2,0,18.4,243.57,7.6,48.3,77.08,Partially cloudy
4/21/2000 0:00,31.1,25,27.5,36.7,0,18.4,213.64,8.9,47.3,79.97,Partially cloudy
4/22/2000 0:00,30.2,21.7,26.8,34.3,43.81,14.8,137.27,8.9,61.8,83.45,"Rain, Partially cloudy"
4/23/2000 0:00,31.6,25,28.7,37.9,0,18.4,145.45,9.8,43,79.22,Partially cloudy
4/24/2000 0:00,28.1,25,26.3,32.1,8,29.5,142.86,8.5,55.3,88.03,"Rain, Partially cloudy"
4/25/2000 0:00,31.1,24.7,27.7,36.7,2,33.5,168.18,8.1,53.5,81.19,"Rain, Partially cloudy"
4/26/2000 0:00,29.9,22.1,26.1,35.6,6.8,11.2,262.86,7.5,54.7,87.59,"Rain, Partially cloudy"
4/27/2000 0:00,32.1,24.9,28.5,36.9,0,14.8,190,7.1,44.4,76.25,Partially cloudy
4/28/2000 0:00,32.1,24.2,28.6,38,0,18.4,43.33,8.1,47.1,77.96,Partially cloudy
4/29/2000 0:00,32.1,25,29.1,36.9,0,18.4,141.33,9.7,38.3,71.52,Partially cloudy
4/30/2000 0:00,32.1,20.3,28,38,36.6,16.6,207.14,6.9,45.6,76.62,"Rain, Partially cloudy"
5/1/2000 0:00,30.1,21.9,27.2,34.3,0.3,18.4,211.54,8.4,55.9,80.12,"Rain, Partially cloudy"
5/2/2000 0:00,27.1,24.1,25.7,30.2,0,24.1,182.94,7.1,53.3,85.69,Partially cloudy
5/3/2000 0:00,30.4,21.2,26.9,35,13.73,18.4,148.33,8.9,47.5,81.51,"Rain, Partially cloudy"
5/4/2000 0:00,30.1,22.1,27.3,35.2,17.7,18.4,108.67,9,53.4,81.18,"Rain, Partially cloudy"
5/5/2000 0:00,32.1,21.2,28.6,35.9,17,14.8,82.86,9.3,45.4,73.14,"Rain, Partially cloudy"
5/6/2000 0:00,32.9,21.7,28.3,37.5,0.6,24.1,133.75,9.3,58.8,74.5,"Rain, Partially cloudy"
5/7/2000 0:00,31.6,20.9,28.3,35.9,0.7,37.1,116.77,8.6,42,71,"Rain, Partially cloudy"
5/8/2000 0:00,32.1,24.1,28.2,38,0,18.4,179.33,8.3,46.2,73.88,Partially cloudy
5/9/2000 0:00,32.1,25,28.8,36.9,0,18.4,162.31,8.5,32.2,71.84,Partially cloudy
5/10/2000 0:00,32.1,20.5,28.2,38,0,18.4,149.79,10.2,24.6,72.88,Clear
5/11/2000 0:00,32.1,22.2,28.5,38,0.7,36.6,148.08,9.6,35.5,72.26,"Rain, Partially cloudy"
5/12/2000 0:00,32.1,24.1,29.2,36.9,0.7,18.4,124.62,9.8,39.4,71.33,"Rain, Partially cloudy"
5/13/2000 0:00,31.1,22,27.9,36,7.1,25.9,212.31,7.1,44.1,80.62,"Rain, Partially cloudy"
5/14/2000 0:00,32.1,21.8,28.2,36.9,3,18.4,114.44,8.9,56,77.89,"Rain, Partially cloudy"
5/15/2000 0:00,32.1,23,29.1,44.3,9.73,27.7,106.07,9.8,48.2,80.02,"Rain, Partially cloudy"
5/16/2000 0:00,31.1,23.7,28.7,37.9,5.7,24.1,133.08,10.6,43.6,77.93,"Rain, Partially cloudy"
5/17/2000 0:00,32.2,21.8,28.9,40.3,0.7,20.5,132.14,10.2,45.3,76.86,"Rain, Partially cloudy"
5/18/2000 0:00,32.1,25,28.7,38,12,24,194.08,8.5,43.5,75.72,"Rain, Partially cloudy"
5/19/2000 0:00,31.1,24.1,27.7,37.9,60,18.4,149.09,9,56.7,82.01,"Rain, Partially cloudy"
5/20/2000 0:00,30.1,21.2,25.8,35.3,6.3,12.8,182,7,50.7,88.91,"Rain, Partially cloudy"
5/21/2000 0:00,31.1,25.9,27.9,36.7,0,25.9,135,10,43.3,81.75,Partially cloudy
5/22/2000 0:00,31.1,22.9,27.7,36.7,8.7,36.7,141.53,9.2,60,82.42,"Rain, Partially cloudy"
5/23/2000 0:00,32.1,21.2,28.3,40,0.7,14.8,94.29,10.2,47.6,79.89,"Rain, Partially cloudy"
