Date,Actual Conditions,Predict Conditions
2015-12-21 11:00:00,Partially cloudy,Partially cloudy
2015-12-21 12:00:00,Partially cloudy,Partially cloudy
2015-12-21 13:00:00,Partially cloudy,Partially cloudy
2015-12-21 14:00:00,Overcast,Partially cloudy
2015-12-21 16:00:00,Partially cloudy,Overcast
2015-12-21 17:00:00,Partially cloudy,Partially cloudy
2015-12-21 18:00:00,Partially cloudy,Partially cloudy
2015-12-22 07:00:00,Partially cloudy,Partially cloudy
2015-12-22 08:00:00,Partially cloudy,Partially cloudy
2015-12-22 09:00:00,Partially cloudy,Partially cloudy
2015-12-22 10:00:00,Partially cloudy,Partially cloudy
2015-12-22 11:00:00,Partially cloudy,Partially cloudy
2015-12-22 12:00:00,Partially cloudy,Partially cloudy
2015-12-22 13:00:00,Partially cloudy,Partially cloudy
2015-12-22 14:00:00,Partially cloudy,Partially cloudy
2015-12-22 15:00:00,Partially cloudy,Partially cloudy
2015-12-22 16:00:00,"Rain, Overcast",Partially cloudy
2015-12-22 17:00:00,Partially cloudy,Partially cloudy
2015-12-22 18:00:00,Partially cloudy,Partially cloudy
2015-12-22 19:00:00,Partially cloudy,Partially cloudy
2015-12-22 20:00:00,Partially cloudy,Partially cloudy
2015-12-23 07:00:00,Partially cloudy,Partially cloudy
2015-12-23 08:00:00,Partially cloudy,Partially cloudy
2015-12-23 09:00:00,Partially cloudy,Partially cloudy
2015-12-23 10:00:00,Partially cloudy,Partially cloudy
2015-12-23 12:00:00,Partially cloudy,Partially cloudy
2015-12-23 13:00:00,Partially cloudy,Partially cloudy
2015-12-23 14:00:00,Partially cloudy,Partially cloudy
2015-12-23 15:00:00,Partially cloudy,Partially cloudy
2015-12-23 16:00:00,"Rain, Overcast",Partially cloudy
2015-12-23 17:00:00,Partially cloudy,Partially cloudy
2015-12-23 18:00:00,Partially cloudy,Partially cloudy
2015-12-23 21:00:00,Partially cloudy,Partially cloudy
2015-12-23 22:00:00,Partially cloudy,Partially cloudy
2015-12-24 07:00:00,Partially cloudy,Partially cloudy
2015-12-24 08:00:00,Partially cloudy,Partially cloudy
2015-12-24 09:00:00,Partially cloudy,Partially cloudy
2015-12-24 10:00:00,Partially cloudy,Partially cloudy
